,uri x,uri y
0,Indomaret Kacang Kriuk,Indomaret Snack Kacang Atom Shanghai
1,Indofood Syrup Freiss Orange,Indomaret Snack Kacang Atom Shanghai
2,Indomaret Kacang Bumbu,Indomaret Snack Kacang Atom Shanghai
3,Indomaret Kacang Kriuk,Kraft Cheese Quick Melt
4,Indomaret Kacang Kriuk,Dua Kelinci Kacang Sangrai
5,Wafer Selamat Chocolate,Dua Kelinci Kacang Sangrai
6,Indomaret Kacang Bali,Dua Kelinci Kacang Sangrai
7,Indomaret Kacang Kriuk,Kacang Telor
8,Garuda Kacang Atom Apc Pedas,Kacang Telor
9,Indomaret Kacang Kriuk,Indomaret Beras Merah
10,Indomaret Air Oksi,Roma Biscuit Festive Treats
11,Nata De Coco,Roma Biscuit Festive Treats
12,Indomaret Air Oksi,Indomaret Garam
13,Indomaret Air Oksi,Indomaret Air Mineral
14,Eternalplus Mineral Water,Indomaret Air Mineral
15,Club Air Mineral,Indomaret Air Mineral
16,Selamat Wafer Chocolate Cream,Indomaret Air Mineral
17,Zona Keripik Makaroni Macaroni Crisps,Indomaret Air Mineral
18,Indomaret Air Oksi,Aqua Galon
19,Indomaret Air Mineral,Aqua Galon
20,Aqua Air Mineral Click N Go,Aqua Galon
21,Indomaret Air Oksi,Eternalplus Mineral Water
22,Indomaret Air Mineral,Club Air Mineral
23,Eternalplus Mineral Water,Club Air Mineral
24,Wide Egg Noodles,Club Air Mineral
25,Indomaret Air Mineral,Indomaret Air Minum Dengan Oksigen Sporty
26,Garuda Kacang Panggang Rosta Pedas,Indomaret Air Minum Dengan Oksigen Sporty
27,Aqua Galon,Indomaret Air Minum Dengan Oksigen Sporty
28,Indomaret Air Mineral,Indomaret Air Oksi
29,Oishi Snack Suky Suky U G Manis Pedas,Monde Biscuit Egg Drops
30,Nissin Walens Choco Soes,Monde Biscuit Egg Drops
31,Indomilk Kental Manis Putih,Cap Enaak Kental Manis Putih
32,Frisian Flag Krimer Kental Manis Omela,Cap Enaak Kental Manis Putih
