,uri x,uri y
0,Indomie Mi Instant Rasa Soto Mie,Indomie Mi Rasa Ayam Special
1,Indomie Mi Rasa Ayam Bawang,Indomie Mi Rasa Ayam Special
2,Indomie Mi Rasa Kari Ayam,Indomie Mi Rasa Ayam Special
3,Indomie Mi Instant Rasa Soto Mie,Indomie Mi Goreng Rendang
4,Indomie Mi Instant Rasa Soto Mie,Indomie Mi Rasa Ayam Bawang
5,Indomie Mi Rasa Kari Ayam,Indomie Mi Rasa Ayam Bawang
6,Indomie Mi Instan Goreng,Indomie Mi Rasa Ayam Bawang
7,Deka Wafer Crepes Choco Banana,Indomie Mi Rasa Ayam Bawang
8,Indomie Mi Instant Rasa Soto Mie,Indomie Mi Goreng Rasa Sate
9,Indomie Mi Instan Goreng,Indomie Mi Goreng Rasa Sate
10,Indomaret Kacang Kriuk,Indomaret Snack Kacang Atom Shanghai
11,Indomaret Kacang Bumbu,Indomaret Snack Kacang Atom Shanghai
12,Indomaret Kacang Kriuk,Dua Kelinci Kacang Sangrai
13,Indomaret Kacang Bali,Dua Kelinci Kacang Sangrai
14,Indomaret Kacang Kriuk,Kacang Telor
15,Garuda Kacang Atom Apc Pedas,Kacang Telor
16,Indomaret Kacang Kriuk,Potabee Snack Potato Chips Seaweed
17,Beng Beng Wafer Chocolate,Roma Wafer Wafello Choco Blast
18,Beng Beng Wafer Chocolate Share It 10 S,Roma Wafer Wafello Choco Blast
19,Beng Beng Wafer Chocolate,Aik Cheong Teh Tarik
20,Aik Cheong White Coffee Original,Aik Cheong Teh Tarik
21,Beng Beng Wafer Chocolate,Good Day Mocca Latte Coffee
22,Club Air Mineral,Indomaret Air Mineral
23,Eternalplus Mineral Water,Indomaret Air Mineral
24,Indomaret Air Oksi,Indomaret Air Mineral
25,Club Air Mineral,Aqua Air Mineral Click N Go
26,Eternalplus Mineral Water,Aqua Air Mineral Click N Go
27,Aqua Galon,Aqua Air Mineral Click N Go
28,Club Air Mineral,Ades Air Mineral
29,Aqua Air Mineral,Ades Air Mineral
30,Bowl Noodle Soup,Ades Air Mineral
31,Sirup Rasa Vanili,Ades Air Mineral
32,Budy Jam Coklat,Ades Air Mineral
33,Kapal Api Coffee Drink White Coffee,Nescafe Kopi Instant Classic
34,Kapal Api Coffee Drink White Coffee,Golda Coffee Drink Dolce Latte
35,Indomilk,Frisian Flag Cokelat
36,Indomilk Kental Manis Putih,Cap Enaak Kental Manis Putih
37,Frisian Flag Krimer Kental Manis Omela,Cap Enaak Kental Manis Putih
38,Indomilk Susu Kental Manis Putih,Cap Enaak Kental Manis Putih
39,Indomilk Kental Manis Putih,Cap Enak Kental Manis Putih
40,Indomilk Kental Manis Putih,Cap Enaak Kental Manis Coklat
41,Indomilk Kental Manis Coklat,Cap Enaak Kental Manis Coklat
42,Adem Sari Air Mineral,Chitato Snack Potato Chips Asli
43,Chitato Snack Potato Chips Sapi Bumbu Bakar,Chitato Snack Potato Chips Asli
44,Chitato Snack Potato Chips Ayam Barbeque,Chitato Snack Potato Chips Asli
45,Chitato Snack Potato Chips Ayam Bumbu,Chitato Snack Potato Chips Asli
46,Tresno Joyo Madu Tj Murni,Mi Gemez Snack Mie Kering Enaak Premium
47,Frisian Flag Canister Susu Kental Manis Coklat,Arnott S Nyam Nyam Pop Stix Chocolate
48,Frisian Flag Canister Susu Kental Manis Coklat,Frisian Flag Krimer Kental Manis Omela
49,Cap Enaak Kental Manis Coklat,Frisian Flag Krimer Kental Manis Omela
50,Frisian Flag Kental Manis Putih,Frisian Flag Krimer Kental Manis Omela
51,Sosro Teh Botol,Frisian Flag Krimer Kental Manis Omela
52,Glico Biscuit Pocky Choco Banana,Frisian Flag Krimer Kental Manis Omela
53,Frisian Flag Canister Susu Kental Manis Coklat,Frisian Flag Kental Manis Putih
54,Tango Wafer Cokelat,Tango Wafer Chocolate
55,Tango Wafer Cokelat,Nissin Wafer Chocolate
56,Kusuka Keripik Singkong Original,Kusuka Keripik Singkong Balado
57,Nola Gluten Free Cookies Choco Chips,Kusuka Keripik Singkong Balado
58,Kusuka Keripik Singkong Barbeque,Kusuka Keripik Singkong Balado
59,Kusuka Keripik Singkong Original,Chiki Balls Snack Chocolate
60,Kraft Sandwich Mini Oreo Chocolate Cream,Chiki Balls Snack Chocolate
61,Cap Enaak Kental Manis Coklat,Tiga Sapi Kremer Kental Manis
62,Indomilk Kental Manis Chocolate,Tiga Sapi Kremer Kental Manis
63,Indomie Mi Rasa Kari Ayam,Tiga Sapi Kremer Kental Manis
64,Frisian Flag Krimer Kental Manis Omela,Tiga Sapi Kremer Kental Manis
65,Cap Enaak Kental Manis Coklat,Good Mood Minuman Ekstrak Buah Stroberi
66,Garuda Pilus Rasa Pedas Spicy Coated Peanuts,Kacang Shanghai Cap Dua Kelinci
67,Coated Peanuts Garlic Flavor Garuda,Kacang Shanghai Cap Dua Kelinci
68,Nola Gluten Free Cookies Choco Chips,Aim Crackers Roasted Corn
69,Eternalplus Mineral Water,Club Air Mineral
70,Indomaret Air Mineral,Club Air Mineral
71,Sido Muncul Este Emje Susu,Indomaret Kemplang Mini
72,Zona Kerupuk Fish Ball Fish Ball Cracker Getes,Zona Telur Gabus Sweet Cookies
73,Zona Kemplang Ikan,Zona Telur Gabus Sweet Cookies
74,Sena Roasted Fish Crackers,Zona Telur Gabus Sweet Cookies
